CO-ID,Provider ID,المحافظة,المنطقة,شركة,التخصص الرئيسي,التخصص الفرعي,مقدم الخدمة,عنوان مقدم الخدمة,Telephone1,Telephone2,Telephone3,Telephone4,Hotline,Line Fax -1,Excluded Services,Action Date,Reason of Inactivation / Termination,Address1,Provider Type,Provider Name,Region,City,sub-speciality,speciality,ND Online Status,Provider Rank,Remarks,Status,,,,,,,,,,,,,,len1 ,len2,len3,len4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID005165,105834-B,القاهرة,وسط البلد,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,11 شارع شريف - أمام عماره اللواء,23907228,1200105898,,,,,-,09-يناير-2021,,11 Sharif Street - in front of Al-Liwa Building,Laboratory,Grand Laboratory,down town,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005165
CID005166,105834-B,القاهرة,مصر الجديدة,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,60 شارع نخله المطيعى امام البنك الاهلى - ميدان تريومف,27758251,1211131046,,,,,-,09-يناير-2021,,60 Nakhleh Al-Mutaey Street in front of the National Bank - Triumph Square,Laboratory,Grand Laboratory,Heliopolis,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005166
CID005167,105834-B,القاهرة,مصر الجديدة,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,33شارع القبة -بجوار العبودى -ميدان روكسى,01285012128,24535953,,,,,-,09-يناير-2021,,33 Al-Qubba Street - next to Al-Aboudi - Roxy Square,Laboratory,Grand Laboratory,Heliopolis,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,11,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005167
CID005168,105834-B,القاهرة,مدينة نصر,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,2 شارع محمد عبد الحليم متفرع من شارع حسنين هيكل بجوار مستشفى دار الحكمه,267406778,1200105313,,,,,-,09-يناير-2021,,"2 Mohamed Abdel Halim Street, off Hassanein Heikal Street, next to Dar Al-Hekma Hospital",Laboratory,Grand Laboratory,Nasr City,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,9,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005168
CID005169,105834-B,القاهرة,مدينة نصر,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,96 شارع مصطفى النحاس بمدينه نصر - برج الاطباء,22744226,1211126426,,,,,-,09-يناير-2021,,96 Mostafa El-Nahhas Street in Nasr City - Doctors Tower,Laboratory,Grand Laboratory,Nasr City,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005169
CID005170,105834-B,القاهرة,حلمية الزيتون,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,115 شارع سليم الاول - بجوار بنك قطر,20674066,1200105876,,,,,-,09-يناير-2021,,115 Selim Al Awal Street - next to Qatar Bank,Laboratory,Grand Laboratory,helmyet el zeitoun,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005170
CID005171,105834-B,القاهرة,القاهرة الجديدة,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,منطقه البنوك 114 القطاع الأول بجوار مطعم البرج وأعلى مطعم الشبراوى,28121005,1211130535,,,,,-,09-يناير-2021,,"Banks area 114, first sector, next to the tower restaurant and above the Shabrawy restaurant",Laboratory,Grand Laboratory,New Cairo,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005171
CID005172,105834-B,القاهرة,شبرا,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,40 شارع شبرا بجوار حى شبرا,24606058,1200105209,,,,,-,09-يناير-2021,,"40 Shubra Street, next to Shubra District",Laboratory,Grand Laboratory,Shoubra,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005172
CID005173,105834-B,القاهرة,المعادى,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,2/8 شارع النصر - امام كشرى التحرير فوق دجاج تكا,25192835,1200105945,,,,,-,09-يناير-2021,,2/8 El Nasr Street - in front of Koshary El Tahrir above chicken tikka,Laboratory,Grand Laboratory,Maadi,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005173
CID005174,105834-B,القاهرة,المنيل,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,48 شارع المنيل فوق اسواق نيو ماركت,25318045,1200230726,,,,,-,09-يناير-2021,,"48 Manial Street, above New Market",Laboratory,Grand Laboratory,Manial,Cairo,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005174
CID002061,3886,الجيزة,المهندسين,معمل,معمل,معمل التحاليل الطبية,معمل تكنولاب,75شارع محي الدين ابو العز-المهندسين- الجيزة,20237600965,,,,,20233351750,-,09-مارس-2012,,75 Mohey El Dein Abou El Eiz,Laboratory,Technolab,Mohandessein,Giza,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID002061
CID002752,3886-B,القاهرة,مدينة نصر,معمل,معمل,معمل التحاليل الطبية,معمل تكنولاب,5شارع عباس العقاد -مدينة نصر-القاهرة,20224019825,,,,,,-,09-مارس-2012,,5 Abbas El Akkad Street,Laboratory,Technolab,Nasr City,Cairo,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID002752
CID003022,3886-B,القاهرة,مصر الجديدة,معمل,معمل,معمل التحاليل الطبية,معمل تكنولاب,70شارع المرغنى - كلية البنات-مصر الجديدة-القاهرة,20224157869,,,,,,-,09-مارس-2012,,"70 Marghany Street, Girls College",Laboratory,Technolab,Heliopolis,Cairo,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID003022
CID003268,3886-B,القاهرة,وسط البلد,معمل,معمل,معمل التحاليل الطبية,معمل تكنولاب,183ش التحرير- باب اللوق-وسط البلد-القاهرة,20227944922,,,,,,-,09-مارس-2012,,"183 eltahreer street, bab ellouk",Laboratory,Technolab,Down town,Cairo,Laboratory,Laboratory,No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID003268
CID002285,1840,القاهرة,حدائق القبة,مستشفى,مستشفي طبي متكامل,جميع التخصصات الطبية,مستشفي الامل التخصصي,67ش عرفات تقسيم الرقابة الادارية-حدائق القبة-القاهرة,20224531118,20224531119,20226010213,,,20224531117,-,26/09/2012,,"67 Arafat st, elrekaba eledarya division, hadayek el kobba",Hospital,Alamal specialized hospital,Hadayek El Kobba,Cairo,All specialties hospital,All medical specialties,No,C,All,Active,,,,,,,,,,,,,,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID002285
CID000392,1961-B,الأقصر,العوامية,مستشفى,مستشفي طبي متخصص,رمد (جراحة عيون),مستشفى العيون الدولي,شارع شجرة الدر من شارع خالد بن الوليد-نزلة الزناتى-العوامية-الاقصر,01200005885,,,,19650,,-,24/11/2014,,Sagret El Dor street from Khaled ibn El Waled street-Nazlat El Zaneity-El Oamya,Hospital,Al Oyoun Al Dawli Hospital - Egypt,El Omaya,Luxor,Specialized hospital,Ophthalmology (Ophthalmic surgery),No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID000392
CID001334,1961-B,الجيزة,الدقي,مستشفى,مستشفي طبي متخصص,رمد (جراحة عيون),مستشفى العيون الدولي,مركز عيون الاطفال: 19  شارع عادل حسين رستم السرايا سابقا-ميدان فينى-الدقى- الجيزة,0233362636,,,,19650,,-,24/11/2014,,Oyoun Children Center: 19 Adel Hussien Rostom street- El Seraya Previous-Veni Square,Hospital,Al Oyoun Al Dawli Hospital - Egypt,Dokki,Giza,Specialized hospital,Ophthalmology (Ophthalmic surgery),No,-,All,Active,,,,,,,,,,,,,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001334
CID001336,1961,الجيزة,الدقي,مستشفى,مستشفي طبي متخصص,رمد (جراحة عيون),مستشفى العيون الدولي,14 شارع عادل حسين رستم (السرايا سابقاً) ميدان فيني- الدقي الجيزة,20233381818,,,,19650,20233384300,-,30/08/2012,,"14 Adel Hussein Rostom Street, X - Saraya Street, Venni Square",Hospital,Al Oyoun Al Dawli Hospital - Egypt,Dokki,Giza,Specialized hospital,Ophthalmology (Ophthalmic surgery),No,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001336
CID002942,1961-B,القاهرة,مصر الجديدة,مستشفى,مستشفي طبي متخصص,رمد (جراحة عيون),مستشفى العيون الدولي,21 شارع الأندلس-خلف الميريلاند-روكسى-مصرالجديدة-مصر الجديدة-القاهرة,0224520301,,,,19650,20224554468,-,30/08/2012,,"21 Andalus Street, behind Merry Land, Roxy,",Hospital,Al Oyoun Al Dawli Hospital - Egypt,Heliopolis,Cairo,Specialized hospital,Ophthalmology (Ophthalmic surgery),No,-,All,Active,,,,,,,,,,,,,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID002942
CID004553,1961-B,بني سويف,بني سويف,مستشفى,مستشفي طبي متخصص,رمد (جراحة عيون),مستشفى العيون الدولي,شارع الفيوم الجديد بجوار مدارس الصفوة - بني سويف,0822219114,,,,19650,,-,20/07/2017,,Al Fayoum street - beside al safwa schools - Bani suef,Hospital,Al Oyoun Al Dawli Hospital - Egypt,Bani Suef,Bani Suef,Specialized hospital,Ophthalmology (Ophthalmic surgery),No,-,All,Active,,,,,,,,,,,,,,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004553
CID001203,1961-B,الفيوم,الفيوم,مستشفى,مستشفي طبي متخصص,رمد (جراحة عيون),مستشفى العيون الدولي,16 شارع العمدة متفرع من شارع الحرية اعلى النساجون الشرقيون-الفيوم,01151119650,20846377199,,,19650,,-,30/08/2012,,16 Elomda st of Elhorya street,Hospital,Al Oyoun Al Dawli Hospital - Egypt,Fayoum,Fayoum,Specialized hospital,Ophthalmology (Ophthalmic surgery),No,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001203
CID005148,105711,القاهرة,عين شمس,هيئة الأطباء,اسنان,جراحة الفم والأسنان,د/ محمد محمد عبدالصمد أبو زيد (مركز العبد للاسنان),83 شارع عين شمس - ناصية شارع الحكيم - عين شمس,0224908905,0114356661,,,,,-,04-يناير-2021,,83 Ain Shams Street - Ain Shams,Clinics / Centers,Dr. Mohamad Mohamad Abdel Samad Abu Zaid (Al-Abd Dental Center),Ain Shams,Cairo,Dental,Dental surgery,No,,All,Active,,,,,,,,,,,,,,10,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005148
CID005147,105827,القاهرة,مصر الجديدة,هيئة الأطباء,اسنان,جراحة الفم والأسنان,د/ هاله رضا ابراهيم جندي,28 عمارات العبور - صلاح سالم - مصر الجديده,01276412327,1004596615,,,,,-,06-يناير-2021,,28 Obour Buildings - Salah Salem - Heliopolis,Clinics / Centers,Dr.Hala Reda,Heliopolis,Cairo,Dental,Dental surgery,No,,All,Active,,,,,,,,,,,,,,11,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005147
CID002581,104575,الجيزة,فيصل,هيئة الأطباء,جراحة,جراحة عظام,د/ خالد أحمد محمد دسوقي الحوت,236شارع فيصل -محطة التعاون -أعلى محل السلام - فيصل - الجيزة .,20233883706,201020871088,,,,,-,10-ديسمبر-2017,,236 faisal Street - Taawon Gas station - above salam shop - Faisal - Cairo,Clinics / Centers,Dr.Khaled Ahmed Mohamed El hoot,Faisel,Giza,Surgery,Orthopedic Surgery,No,-,All,Active,,,,,,,,,,,,,,11,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID002581
CID005228,105976,القاهرة,المعادى,هيئة الأطباء,اسنان,جراحة الفم والأسنان,د/ محمود رائف عبدالفتاح صقر ( Blenda Dental Care ),1/1 تقاطع شارع اللاسلكي من شارع النصر اعلي رضوان العجيل - المعادي - القاهره,01102609999,,,,,,-,02-يناير-2022,,1/1 intersection of El Lasilki Street from El Nasr Street above Radwan El Ogail - Maadi - Cairo,Clinics / Centers,Dr.Mahmoud Raef Abdel fattah Saqr ( Blenda Dental Care ),Maadi,Cairo,Dental,Dental surgery,No,,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005228
CID004641,104867,القاهرة,مدينة نصر,هيئة الأطباء,اسنان,جراحة الفم والأسنان,د/رغدة سعيد عبد الحميد عبد الحسن,103 شارعالطيران -عمارة حلوانى الدمياطى-مدينة نصر -القاهرة,201112535348,,,,,,-,10-مارس-2017,,103 Tayaran Street -Halawany El Domiaty building-Nasr City-Cairo,Clinics / Centers,Dr.Raghda Said Abdel Hamid,Nasr City,Cairo,Dental,Dental surgery,No,-,All,Active,,,,,,,,,,,,,,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004641
CID004938,104867-B,القاهرة,القاهرة الجديدة,هيئة الأطباء,اسنان,جراحة الفم والأسنان,د/رغدة سعيد عبد الحميد عبد الحسن,بورتو  كايرو ميديكال سنتر - امام اكاديمية الشرطة - الدةر الثاني - القاهرة الجديدة,201097648187,,,,,,-,23/03/2019,,Porto Cairo Medical Center - new Cairo,Clinics / Centers,Dr.Raghda Said Abdel Hamid,New Cairo,Cairo,Dental,Dental surgery,No,-,All,Active,,,,,,,,,,,,,,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004938
CID001249,2914-B,القاهرة,الازبكية,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية مترو,3ش عماد الدين-الازبكية-القاهرة,20225917731,20225919897,,,,,-,09-أبريل-2012,,3 Emad El Dein Street,Pharmacy,Metro Pharmacy,elazbakia,Cairo,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001249
CID001318,2914,الجيزة,الدقي,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية اوسكار,1ش سليمان جوهر الدقى-الدقي- الجيزة,20233362085,20237618750,,,,20233362085,-,09-أبريل-2012,,1 Soliman goohar street,Pharmacy,Oscar Pharmacy,Dokki,Giza,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001318
CID005146,105682,القاهرة,وسط البلد,مستشفى,مستشفي طبي متخصص,رمد (جراحة عيون),د/ محمد احمد عبدالحميد هندي ( مركز عين العالم لطب وجراحه العيون ),36 شارع رشدي - عابدين - وسط البلد - القاهره,23920083,23920083,1203311300,,,,-,03-يناير-2021,,36 Roshdy Street - Abdeen - Downtown - Cairo,Hospital,World Eye Center,down town,Cairo,Specialized hospital,Ophthalmology,No,,All,Active,,,,,,,,,,,,,,8,8,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005146
CID001778,3995-B,القاهرة,المعادى,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير (عبير),56 شارع طريق مصر حلوان الزراعي - برج بدر-المعادي-القاهرة,20227510490,20223781270,,,19757,,-,09-مارس-2012,,"56 misr helwan road st, badr tower",Pharmacy,Egyptian Drug Store - Care Pharmacy,Maadi,Cairo,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID001778
CID002534,3995-B,الجيزة,فيصل,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير (محمود ابراهيم),283 شارع فيصل - محطة المطبعة - امام غاز مصر-فيصل- الجيزة,20235864566,,,,19757,,-,09-مارس-2012,,"283 faisel st, matbaa station",Pharmacy,Egyptian Drug Store - Care Pharmacy,Faisel,Giza,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID002534
CID004592,3995-B,الجيزة,الهرم,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير,336 ش الهرم - الجيزة,20233981208,20233981255,,,19757,,-,08-أغسطس-2017,,336 Al haram Street - Giza,Pharmacy,Care Pharmacy - Shoubra,Al Haram,Giza,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004592
CID004680,3995-B,الجيزة,الهرم,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير(د/ كريم مرجان),511 شارع الاهرام – ميدان الجيزة,20235727560,20235727945,,,19757,,-,15/11/2017,,511 el ahram street -giza,Pharmacy,Care Pharmacy,Al Haram,Giza,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004680
CID004783,3995-B,القاهرة,حلوان,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير (ص د.منى أحمد),30ش عبدالله - حلوان -القاهرة,20228182446,20228182448,,,19757,,-,01-نوفمبر-2018,,30 Abdallah Street - Helwan - Cairo,Pharmacy,Care Pharmacy,Helwan,Cairo,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004783
CID004924,3995-B,القاهرة,مصر الجديدة,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير (د. كريم واثق ),17 شارع فريد سميكة - النزهة  - مصر الجديدة,20226438417,20226438418,20226438419,,19757,,-,18/09/2018,,17 Farid Samika  - Nozha,Pharmacy,Egyptian Drug Store - Care Pharmacy,Heliopolis,Cairo,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004924
CID004926,3995,القاهرة,المنيل,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير (د.د.محمد المهدي ),53 شارع المنيل - المنيل,20223611289,20223611288,201122889100,,19757,,-,18/09/2018,,53 El Maieal  St. - Cairo,Pharmacy,Egyptian Drug Store - Care Pharmacy,Manial,Cairo,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004926
CID004927,3995-B,القاهرة,المقطم,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير (د.عمرو باشا ),شارع 9- 8906منطقة الهضبة العليا-المقطم,20228434604,20228434602,201116886838,,19757,,-,18/09/2018,,9 Street - Land No. 8906 - Mokattam . Cairo,Pharmacy,Egyptian Drug Store - Care Pharmacy,Mokattam,Cairo,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004927
CID004928,3995-B,الجيزة,المهندسين,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير,49ش احمد عرابي-بجوار اتصالات - المهندسين,20233441743,20233441789,201145952999,,19757,,-,18/09/2018,,49Ahmed Oraby St - Mohandseen,Pharmacy,Egyptian Drug Store - Care Pharmacy,Mohandessein,Giza,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004928
CID004929,3995-B,القاهرة,مدينة نصر,صيدلية,صيدلية,صيدلية (أدوية ومستلزمات طبية),صيدلية كير  ( د. احمد محمد منير ),قطعه 12 بلوك 32 المنطقه العاشره مدينه نصر (امتداد مصطفي النحاس امام عمارات المثلث),20223574277,20223574275,,,19757,,-,18/09/2018,,Place No. 12 - Block 32 - District 10 - Nasr City,Pharmacy,Egyptian Drug Store - Care Pharmacy,Nasr City,Cairo,Pharmacy,Pharmacy (Drugs & Medical supplies),Yes,-,All,Active,,,,,,,,,,,,,,11,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID004929
